Rank,title,AuthorName,Language,Price_normal,Id
1,Syv m2 med lås,Jussi Adler-Olsen,Dansk,249.95,9788740068849
2,Terminalen,Michael Katz Krefeld,Dansk,199.95,9788740090079
3,Mørket bag dig,KIRSTEN THORUP,Dansk,159.95,9788702324686
4,HjerneRo,Peter Vangsgaard Hyldig,Dansk,169.95,9788727106427
5,Lysets våben,Ken Follett,Dansk,189.95,9788702399158
6,De hvide nætter,Katrine Engberg,Dansk,199.95,9788775622832
7,Stormbjerget,Liza Marklund,Dansk,179.95,9788775935055
8,OXEN – De mørke mænd,Jens Henrik Jensen,Dansk,109.95,9788740016390
9,OXEN – Pilgrim,Jens Henrik Jensen,Dansk,199.95,9788740068733
10,Mirage,Camilla Läckberg,Dansk,179.95,9788775935031
11,Vanedyr,Nicklas Brendborg,Dansk,219.95,9788773396995
12,OXEN – De frosne flammer,Jens Henrik Jensen,Dansk,139.95,9788740028720
13,Oplevelsessamfundet,Svend Brinkmann,Dansk,129.95,9788759343418
14,Den våde grav,Robert Galbraith,Dansk,159.95,9788702408218
15,Hafni fortæller,Helle Helle,Dansk,159.95,9788743406044
16,Forandringslederens håndbog,Søren Brandi,Dansk,79.95,9788702234237
17,Manden der bar solen,Kristian Bang Foss,Dansk,159.95,9788702308785
18,OXEN – Lupus,Jens Henrik Jensen,Dansk,139.95,9788740051421
19,Natrium Chlorid,Jussi Adler-Olsen,Dansk,199.95,9788740074987
20,Det blinde øje,Mathilde Walter Clark,Dansk,179.95,9788740089134
21,Kold maj,Maria Helleberg,Dansk,129.95,9788702397574
22,Glutenfri jul,Simon Weisdorf,Dansk,39.95,9788797053713
23,Mosen,Liza Marklund,Dansk,179.95,9788775930296
24,Polarcirklen,Liza Marklund,Dansk,149.95,9788772386430
25,Drageland,Puk Damsgård,Dansk,199.95,9788740090109
26,Der kom et brev fra München,Håkan Nesser,Dansk,159.95,9788770078986
27,Bedrag bedragerne,Jan Guillou,Dansk,159.95,9788770078924
28,Atlas - Historien om Pa Salt,Lucinda Riley,Dansk,189.95,9788702391046
29,Fabric for Fashion,Amanda Johnston,Engelsk,37.2,9781529419962
30,Brænd alle mine breve,Alex Schulman,Dansk,149.95,9788711995877
31,Røde linjer,Elsebeth Egholm,Dansk,99.95,9788775935208
32,Gøgeungen,Camilla Läckberg,Dansk,209.95,9788775930937
33,Under en anden himmel,Mich Vraa,Dansk,199.95,9788711996713
34,Vi er vores valg,René Dahl Andersen,Dansk,219.95,9788773396841
35,OXEN – De hængte hunde,Jens Henrik Jensen,Dansk,109.95,9788740007336
36,Sig du kan li mig,Astrid Haug,Dansk,79.95,9788702183399
37,Testamentet,Wilbur Smith,Dansk,129.95,9788727103235
38,Overleverne,Alex Schulman,Dansk,99.95,9788711994139
39,Kager du kender – bare glutenfri,Karina Baagø,Dansk,99.95,9788794289733
40,Bandekrigerne fra Blågårds Plads,Carsten Norton,Dansk,179.95,9788740088540
41,Tre,Valérie Perrin,Dansk,199.95,9788775621118
42,Iron Flame,,Engelsk,130.44,9780349437040
43,KLUDEKRÆMMERENS HÅNDKLÆDEBOG,Dorte Hummelshøj Jakobsen,Dansk,109.95,9788793197862
44,Bjørn,Iben Mondrup,Dansk,199.95,9788740068818
45,Sår,Sara Blaedel,Dansk,199.95,9788740083576
46,Introduktion til REGNSKAB,John Hannover,Dansk,74.95,9788740431391
47,Let livet,Sara Maria Franch-Mærkedahl,Dansk,179.95,9788740089165
48,Twisted Lies - 4,Ana Huang,Dansk,79.95,9789180543088
49,Vølvens vej - Ulvegabet,Anne-Marie Vedsø Olesen,Dansk,179.95,9788727116457
50,Twisted Games - 2,Ana Huang,Dansk,79.95,9789180542920
151,Den hun er,Astrid Saalbach,Dansk,49.95,9788702144932
152,Mimbo Jimbo besøger sin familie - Lyt&læs,Jakob Martin Strid,Dansk,49.95,9788702166682
153,Kend din tidstype,Trine Kolding,Dansk,49.95,9788702194708
154,Doktor Zjivago,Boris Pasternak,Dansk,79.95,9788702322460
155,Homers Iliade,Otto Steen Due,Dansk,129.95,9788702341478
156,THE WITCHER 6,Andrzej Sapkowski,Dansk,129.95,9788702342970
157,Vinterkys under stjernerne,Heléne Holmström,Dansk,129.95,9788702388558
158,VM - Højdepunkter og skandaler,Lars Hestbech,Dansk,99.95,9788711334133
159,Dagbog fra Østfronten,Claus Bundgård Christensen,Dansk,99.95,9788711395998
160,Den som blinker er bange for døden,Knud Romer,Dansk,69.95,9788711400876
161,Odysseen,Bent Haller,Dansk,79.95,9788711489871
162,Trekløveret og den gamle borgruin,Else Fischer,Dansk,79.95,9788711779569
163,Meyers grøn mad,Meyers madhus,Dansk,199.95,9788711921128
164,Livets gave,Danielle Steel,Dansk,79.95,9788711963906
165,Forræderens dagbog. En dansk nazist 1941-45,Arne Hardis,Dansk,79.95,9788711977583
166,Pigen fra det store hvide skib,Jesper Bugge Kold,Dansk,79.95,9788711989654
167,Meyers grønne proteiner,Meyers madhus,Dansk,199.95,9788711993347
168,Sange fra skarnbøtten,Bent Haller,Dansk,179.95,9788711994245
169,Kort over Paradis,Knud Romer,Dansk,149.95,9788726002317
170,Aarestrups samlede digte,Emil Aarestrup,Dansk,79.95,9788726002645
171,Øjenvidnet. Sabotørens hverdag,Bob Ramsing,Dansk,49.95,9788726012033
172,Den protestantiske etik og kapitalismens ånd,Max Weber,Dansk,69.95,9788726023534
173,Ligaen. Den danske militære efterretningstjeneste 1940-45. Bind 1,Hans Christian Bjerg,Dansk,79.95,9788726305807
174,Mange skurke få helte - og alle de andre. Vordingborg og Sydsjælland 1939-1949,Allan Huglstad,Dansk,149.95,9788726317770
175,Strandglæder,- Cupido,Dansk,39.95,9788726362343
176,En kvinde i hver havn – erotiske noveller,Cupido,Dansk,39.95,9788726650792
177,Naturerkendelse og theologi i historisk belysning,Olaf Pedersen,Dansk,99.95,9788726819724
178,Turen går til Nepal,Kaj Halberg,Dansk,35,9788740018851
179,"Turen går til Tenerife, La Gomera, La Palma & El Hierro",Mia Hove Christensen,Dansk,79.95,9788740025378
180,13 ting mentalt stærke IKKE gør,Amy Morin,Dansk,159.95,9788740032505
181,Det ensomme hjerte,Tom Buk-Swienty,Dansk,159.95,9788740042054
182,Bevægelse,Susse Wold,Dansk,199.95,9788740053432
183,Turen går til New Zealand,Kirsten Rødsgaard-Mathiesen,Dansk,35,9788740055597
184,Engle dør aldrig - Hells Angels i Danmark 1957-1997,Carsten Norton,Dansk,199.95,9788740071818
185,"Teoribog, til personbil kat. B, m 6 mdr's adgang til 20 teoriprøver",Bo Mathiesen,Dansk,399.95,9788740455526
186,Kunsten i at rejse sig op,Thomas Schmidt,Dansk,95,9788740461473
187,Gæringstid,Olivia Levison,Dansk,59.95,9788740487091
188,Vi har aldrig været moderne,Bruno Latour,Dansk,139.95,9788741270852
189,Dialog & Diskonjunktion,Andreas Simonsen,Dansk,169.95,9788743067788
190,Skakmat,Ali Hazelwood,Dansk,149.95,9788743404774
191,Prinsens gravide hustru / Prinsesse på afveje,Trish Morey,Dansk,29.95,9788743509653
192,"Nyt år, ny begyndelse",Sarah Morgan,Dansk,29.95,9788743511045
193,I morgen angriber vi igen,Kim Hundevadt,Dansk,79.95,9788756797535
194,Udvikling,Dion Sommer,Dansk,149.95,9788759329641
195,Gnist,Maya Banks,Dansk,79.95,9788763830423
196,Glød,Maya Banks,Dansk,79.95,9788763830454
197,Ild,Maya Banks,Dansk,129.95,9788763830584
198,Operation Allike,Ken Follett,Dansk,129.95,9788763834575
199,Jordens søjler,Ken Follett,Dansk,129.95,9788763840019
200,Desertørerne 3,Kim Blæsbjerg,Dansk,129.95,9788763852722
101,Uglens øje,Sissel Jo-Gazan,Dansk,199.95,9788740077407
102,Generation 7/7,Emilie Stein Thorsen,Dansk,129.95,9788702341812
103,Glem mig,Alex Schulman,Dansk,149.95,9788711995860
104,Lavendelhaven,Lucinda Riley,Dansk,79.95,9788763862462
105,Det værste og det bedste,Søren Ulrik Thomsen,Dansk,49.95,9788702213171
106,Profeten og idioten,Jonas Jonasson,Dansk,159.95,9788770077415
107,Min egen stemme,Britney Spears,Dansk,199.95,9788740081893
108,Det brændende blad,Katrine Engberg,Dansk,199.95,9788793983649
109,Personlig virksomhed - Enkeltmands & I/S,John Hannover,Dansk,69.95,9788740489989
110,Tre dage i april,Mich Vraa,Dansk,179.95,9788727004334
111,Titanernes krig,Wilbur Smith,Dansk,179.95,9788711998021
112,KURSUS I FÆRØSK,Maria T Jensen,Dansk,99.95,9788740451719
113,Akupunktur til Vægttab,Sumiko Knudsen,Dansk,119.95,9788743099208
114,Fra i nat sover jeg på taget,Jens Christian Grøndahl,Dansk,79.95,9788702358650
115,Det er de danske som flygter,Lise Ringhof,Dansk,169.95,9788743400493
116,Følelsernes kemi,David JP Phillips,Dansk,149.95,9788743407324
117,Mine første juleperlerier,Anja Takacs,Dansk,119.95,9788773398999
118,Glutenfrie Årstider,Karina Baagø,Dansk,99.95,9788794049931
119,Julefrokostsange,Bjarne Castella,Dansk,10,9788740481983
120,Svar på Helgas brev,Bergsveinn Birgisson,Dansk,79.95,9788792884916
121,Dit selvhelbredende sind,Mette Louise Holland,Dansk,159.95,9788793046702
122,SEX - stillinger og teknikker,Adam Arent,Dansk,54.95,9788779910041
123,Turen går til Japan,Mette Holm,Dansk,35,9788740063677
124,Miss Bridgertons hemmelighed,Julia Quinn,Dansk,149.95,9788775933563
125,Socialkonstruktivistiske analysestrategier - en introduktion,Niels Åkerstrøm Andersen,Dansk,24.95,9788778674326
126,Katten efter musen,Matthew Arlidge,Dansk,159.95,9788742606339
127,Tværfaglig projektopgave til Yachtskipper 1,Peter Gorm Larsen,Dansk,95.5,9788740437478
128,Birgithe med th,Katrine Marie Guldager,Dansk,129.95,9788702389968
129,Hypotesen om kærlighed,Ali Hazelwood,Dansk,149.95,9788743404750
130,Panser,Michael Molin,Dansk,219.95,9788773397619
131,Det nye rige,Wilbur Smith,Dansk,69.95,9788711992951
132,Frøken Smillas fornemmelse for sne,Peter Høeg,Dansk,79.95,9788702401172
133,Bagekurset Gør bagværk til Livsglæde 1. Udgave,Bent Steen Christensen,Dansk,99.95,9788799613328
134,Alle lyver,Camilla Grebe,Dansk,69.95,9788711997659
135,Roms porte,Conn Iggulden,Dansk,79.95,9788702158595
136,Besættelsestiden som kollektiv erindring,Claus Bryld,Dansk,74.95,9788778679253
137,Dracula,Bram Stoker,Dansk,39.95,9788740487053
138,Hellion and the Highlander,Lynsay Sands,Engelsk,47.46,9780061976438
139,Total Productive Maintenance,Steve Borris,Engelsk,1190.21,9780071589260
140,WWE Book of Top 10s,Dean Miller,Engelsk,55.85,9780241314401
141,Storm Cursed,Patricia Briggs,Engelsk,51.19,9780356505978
142,This Precious Life,Khandro,Engelsk,234.95,9780834825529
143,"Mijn eekhoorntje, gevolgd door Sneeuwvlokken",Agnes Ruiz,Hollandsk,19.95,9781071574850
144,Miracle Morning,Hal Elrod,Engelsk,51.19,9781473632165
145,Falklands War - There and Back Again,Mike Norman,Engelsk,59.95,9781526710796
146,Liefde heeft mij gevonden,Sharon Kleve,Hollandsk,34.95,9781547564828
147,Er waren eens... de Zaza-sprookjes,Olivier Aymar,Hollandsk,27.27,9781667428239
148,Current Research in Egyptology 2021,,Engelsk,24.95,9781803273778
149,String of Lights,Alexa Milne,Engelsk,34.99,9781839430893
150,En plads i verden,Per Mouritsen,Dansk,49.95,9788702143973
51,Det blæksorte hjerte,Robert Galbraith,Dansk,159.95,9788702372830
52,Teorien om ingenting,Holger Bech Nielsen,Dansk,159.95,9788702322798
53,De bedste familier ,Kim Blæsbjerg,Dansk,169.95,9788743403265
54,OXEN – Gladiator,Jens Henrik Jensen,Dansk,199.95,9788740072785
55,Cockpittets hemmeligheder,Morten Knoth,Dansk,179.95,9788794464048
56,Katalog over katastrofer,Stine Askov,Dansk,79.95,9788702281446
57,KLUDEKRÆMMERENS BLINDSTRIKKEBOG 2020,Dorte Hummelshøj Jakobsen,Dansk,99.95,9788793197893
58,DU ER en bevidsthed i EN HJERNE I EN KROP,Kim Oechsle,Dansk,189.95,9788771963755
59,Kriger uden maske,Hanne-Vibeke Holst,Dansk,159.95,9788702293555
60,Døden på museet,Elly Griffiths,Dansk,79.95,9788712056935
61,Kniven i ilden,Ingeborg Arvola,Dansk,169.95,9788743405597
62,Dandy,Jan Guillou,Dansk,119.95,9788770538992
63,Retskilder og juridisk metode,Pia Vendelbo,Dansk,64.95,9788793392014
64,De syv søstre,Lucinda Riley,Dansk,129.95,9788763844123
65,Buddenbrooks,Thomas Mann,Dansk,79.95,9788702210361
66,Forvandlingen,Franz Kafka,Dansk,49.95,9788726153668
67,Når vi ånder i takt,Niels Hausgaard,Dansk,199.95,9788727103648
68,Krigens logik,Anders Puck Nielsen,Dansk,219.95,9788773396919
69,Byttet,Stefan Ahnhem,Dansk,149.95,9788727043890
70,Gopler ældes baglæns,Nicklas Brendborg,Dansk,189.95,9788773399538
71,Annas sang,Benjamin Koppel,Dansk,129.95,9788702324655
72,TEKU-modellen – Teknologiforståelse i professionerne,Cathrine Hasse & Lene Storgaard Brok,Dansk,20,9788793060203
73,Krokodillevogteren,Katrine Engberg,Dansk,99.95,9788711918951
74,Twisted Hate - 3,Ana Huang,Dansk,79.95,9789180543002
75,Det hele handler ikke om dig,Niels Overgaard,Dansk,149.95,9788770368636
76,De fire leveregler,Don Miguel Ruiz,Dansk,79.95,9788702189100
77,At leve med AD(H)D som kvinde,Charlotte Jokumsen,Dansk,189.95,9788712059578
78,"Habitus, kapital og felt - Bourdieus greb til en analyse af praksis",Lisanne Wilken,Dansk,24.95,9788778674418
79,Aftaleret,Pia Vendelbo,Dansk,64.95,9788793392076
80,"Vi havde en fest på arbejdet, men så kom Preben ...",Rikke Østergaard,Dansk,119.95,9788792769947
81,Adams arv,Sofie Lassen-Kahlke,Dansk,199.95,9788740068757
82,Ufrihedens pris,Dennis Nørmark,Dansk,159.95,9788702386363
83,Showbiz,Anne Sofie Kragh,Dansk,199.95,9788740089141
84,Twisted Love - 1,Ana Huang,Dansk,79.95,9789180542845
85,Airfryerfavoritter,Anne-Kathrine Palm Schelde,Dansk,139.95,9788794441766
86,Min kamp VI,Karl Ove Knausgaard,Dansk,149.95,9788711395097
87,Tæl hjerteslag,Katarina Widholm,Dansk,169.95,9788775934836
88,Monsun,Wilbur Smith,Dansk,149.95,9788711451311
89,Glasvinge,Katrine Engberg,Dansk,179.95,9788772003467
90,Blodmåne,Katrine Engberg,Dansk,64.95,9788771806007
91,City,Jesper Stein,Dansk,199.95,9788740083507
92,Er det mors skyld?,Dorthe Stieper,Dansk,149.95,9788793145085
93,Safari fra helvede,Tom Buk-Swienty,Dansk,199.95,9788740081282
94,Voksbarnet,Olga Ravn,Dansk,129.95,9788702395518
95,Skytsengel (Ravn-serien nr. 6),Michael Katz Krefeld,Dansk,79.95,9788711919385
96,Fri mand,Michael Holbek,Dansk,199.95,9788740087758
97, Det bedste man kan sige,Nadia Kløvedal Reich,Dansk,189.95,9788712076018
98,Aftentid og morgengry,Ken Follett,Dansk,159.95,9788702311297
99,The Hunger Games 0 - En fortælling om sangfugle og slanger,Suzanne Collins,Dansk,129.95,9788702292930
100,"Friends, Lovers and the Big Terrible Thing",Matthew Perry,Engelsk,121.11,9781472295958
301,Rend mig i traditionerne,Leif Panduro,Dansk,49.95,9788702103229
302,Sund junkfood,Katrine Tuborgh,Dansk,49.95,9788702176100
303,Nordisk Foraar,Johannes V. Jensen,Dansk,49.95,9788702194067
304,Jens Munk,Thorkild Hansen,Dansk,49.95,9788702198003
305,Min søsters hemmelighed,Tracy Buchanan,Dansk,79.95,9788702199123
306,Dage og kampe,Per Stig Møller,Dansk,49.95,9788702200911
307,Iværksætter,Mads Faurholt,Dansk,79.95,9788702213607
308,Mit navn er Lucy Barton,Elizabeth Strout,Dansk,79.95,9788702219708
309,Diagnose eller opdragelse,Ann-Elisabeth Knudsen,Dansk,49.95,9788702234169
310,Nye kulturstudier,Anne Scott Sørensen,Dansk,49.95,9788702236583
311,"Forandring, ja tak!",Robert Kegan,Dansk,49.95,9788702237221
312,Hallo - er der hul igennem?,Ann-Elisabeth Knudsen,Dansk,49.95,9788702238112
313,Den syge kapitalisme,Peter Hummelgaard Thomsen,Dansk,79.95,9788702266610
314,Noget for noget,Sophie Kinsella,Dansk,129.95,9788702305982
315,Khans skat,Clive Cussler,Dansk,49.95,9788702365191
316,Barbar,Amina Elmi,Dansk,129.95,9788702387889
317,Hvalbensteatret,Joanna Quinn,Dansk,129.95,9788702391084
318,Jordbundet,Rasmus Hage Dalland,Dansk,129.95,9788702393705
319,Den danske rytter,Bernard Cornwell,Dansk,99.95,9788711339749
320,Kayo - Strømerens bedste ven,Poul Erik Sørensen,Dansk,99.95,9788711377352
321,Sådan håndterer du besværlige personer,Sebastian Nybo,Dansk,99.95,9788711420461
322,Paranoia,Gretelise Holm,Dansk,79.95,9788711436882
323,Veras vrede,Anne Marie Løn,Dansk,79.95,9788711463864
324,Sekten,Michael Katz Krefeld,Dansk,169.95,9788711491058
325,Opkald fra en engel,Guillaume Musso,Dansk,99.95,9788711671146
326,Sandgrav,Helene Tursten,Dansk,99.95,9788711740064
327,"Kys, kærlighed og kulde",Bodil Cold-Ravnkilde,Dansk,69.95,9788711879283
328,Min mørke Vanessa,Kate Elizabeth Russell,Dansk,99.95,9788711984826
329,Vangede Billeder,Dan Turèll,Dansk,49.95,9788721036799
330,Sytten I,Carl Erik Soya,Dansk,79.95,9788726086294
331,Vandreture i Grønland,Torbjørn Ydegaard,Dansk,69.95,9788726095036
332,Ninka interviewer Erik Bruhn,Anne Wolden-Ræthinge,Dansk,39.95,9788726196160
333,Sommerflirt – erotiske noveller,Cupido,Dansk,39.95,9788726463712
334,Danmark: De første 1000 år,Anders Lundt Hansen,Dansk,199.95,9788727086408
335,Mine livretter,James Price,Dansk,179.95,9788727112473
336,Dødevaskeren,Sara Omar,Dansk,139.95,9788740042467
337,Mordet på en havfrue,Thomas Rydahl,Dansk,199.95,9788740057980
338,Arabica,Puk Damsgård,Dansk,199.95,9788740065558
339,Dagmars svære valg,Gertrud Tinning,Dansk,199.95,9788740078428
340,Genfærd ind,Isabella Hammad,Dansk,199.95,9788740078947
341,Sigurd fortæller om Gorm den Gamle og Harald Blåtand,Sigurd Barrett,Dansk,19.95,9788740087253
342,Airfryer-julebogen,Britt Andersen,Dansk,109.95,9788740091458
343,StoleYoga Manualen,Britt Ziwes,Dansk,150,9788740415698
344,Excel 2019 og Office 365,Charlotte Cederstrøm,Dansk,80,9788740426748
345,Magiske Hverdagsgudinder,Marianne Camille Tiffanie Kirkskov,Dansk,125,9788740476910
346,Regnskab med ms Excel,Tina Samuelsson,Dansk,75,9788740497618
347,I dødsskyggernes dal,Rita Nielsen,Dansk,89.95,9788741003696
348,Jeg og Du,Martin Buber,Dansk,99.95,9788741270876
349,Proust og tegnene,Gilles Deleuze,Dansk,139.95,9788741276069
350,Omsorg,Claire Keegan,Dansk,139.95,9788743401568
351,Drageløberen,Khaled Hosseini,Dansk,129.95,9788763824477
352,Hvidt hav,Roy Jacobsen,Dansk,79.95,9788763846394
353,Perleleg,Anja Takacs,Dansk,109.95,9788770363419
354,Vejen til Jerusalem,Jan Guillou,Dansk,89.95,9788770534840
355,Jan Fog - Et liv i første række,Karin Heurlin,Dansk,109.95,9788771086782
356,Utilstrækkelig,Christian Hjortkjær,Dansk,119.95,9788772046358
357,MÅSKE I MORGEN - om at leve med psykisk sygdom og spiseforstyrrelse,Jonna Hansen,Dansk,159.95,9788772180786
358,Kampen om vandet - grundbog i miljøplanlægning,Per Christensen,Dansk,94.95,9788773078372
359,Skam,Krista Korsholm Bojesen,Dansk,159.95,9788775238651
360,Ulven blotter sine tænder,Samuel Bjørk,Dansk,199.95,9788775621576
361,Excel 2019 for alle - Office 365,M. Nielsen,Dansk,159.95,9788778539816
362,Klikkertræning for hunde,Monika Sinner,Dansk,79.95,9788778576972
363,Nietzsche: Værker 1886-1888,Preben Lilhav,Dansk,95.19,9788790831271
364,Tvunget til tavshed,Linda Castillo,Dansk,109.95,9788792845122
365,Den store Lightroom Classic CC bog,Martin Simon,Dansk,139.95,9788793170612
366,Karolines Store Julekogebog,Karolines Køkken,Dansk,99.95,9788793191181
367,Word - Microsoft 365,Charlotte Cederstrøm,Dansk,99.95,9788793522213
368,Excel - Microsoft 365,Charlotte Cederstrøm,Dansk,99.95,9788793522220
369,Excel udvidet - Microsoft 365,Charlotte Cederstrøm,Dansk,99.95,9788793522244
370,Antikaos: Thriller #3 i Mirrin Bank-trilogien,Johan Ottosen,Dansk,139.95,9788794013079
371,Lær at male,Mia-Nelle Drøschler,Dansk,169.95,9788794360814
372,Gerda,Ejler Nyhavn,Dansk,94.95,9788799461608
373,Erotik og sex: De grå sider 1,rapport Publishing,Engelsk,39.95,9788799596201
374,Det beskidte arbejde,Christina Larsson,Dansk,129.95,9789180346856
375,Manden fra mørket,Ole Christian Madsen,Dansk,129.95,9788702390070
376,Resonans,Hartmut Rosa,Dansk,219.95,9788741008103
377,Nattens udyr,Michael Katz Krefeld,Dansk,79.95,9788711989067
378,Stormfulde højder,Emily Brontë,Dansk,79.95,9788702178142
379,Jeg skal finde nøglen,Alex Ahndoril,Dansk,169.95,9788743407157
380,Arbejdets land,Kaare Dybvad Bek,Dansk,179.95,9788773396902
381,Perlesøsteren,Lucinda Riley,Dansk,129.95,9788763854474
382,Løb som floden,Shelley Read,Dansk,199.95,9788740083460
383,Jeg anerkender ikke længere jeres autoritet,Glenn Bech,Dansk,79.95,9788702382075
384,Et spørgsmål om magt,Peter Loft,Dansk,129.95,9788775740383
385,Elins død,Sara Blaedel,Dansk,199.95,9788740081381
386,Den grænseløse,Jussi Adler-Olsen,Dansk,139.95,9788740019360
387,Det ender med os,Colleen Hoover,Dansk,99.95,9788711796580
388,"Indtil vanvid, indtil døden",KIRSTEN THORUP,Dansk,129.95,9788702270631
389,Livvagten,Susanne Hegelund,Dansk,129.95,9788702403299
390,Et godt liv med Endometriose,Endometriose Foreningen,Dansk,80,9788740496352
391,Mount København,Kaspar Colling Nielsen,Dansk,49.95,9788702098129
392,Sjælevennen,Sofie Sarenbrant,Dansk,169.95,9788775930159
393,En opdigtet ægtemand,Julia Quinn,Dansk,149.95,9788775931736
394,Mein Kampf,Adolf Hitler,Engelsk,24.95,9789380914855
395,Træfpunkt,Tønnes Hilden,Dansk,75,9788799692200
396,Running Grave,,Engelsk,130.44,9781408730966
397,Skyggesøsteren,Lucinda Riley,Dansk,189.95,9788763852470
398,"Dem, der ikke tier",Peter Øvig Knudsen,Dansk,159.95,9788702401646
399,Hvad er et menneske?,Svend Brinkmann,Dansk,79.95,9788702265262
400,Fasandræberne,Jussi Adler-Olsen,Dansk,139.95,9788740006278
201,Buemundet guitarfisk,Nikolaj Zeuthen,Dansk,129.95,9788763852951
202,Derfor sover vi,Matthew Walker,Dansk,159.95,9788763860420
203,Solomon Creed,Simon Toyne,Dansk,129.95,9788771073553
204,Den mørke engel,Mari Jungstedt,Dansk,74.95,9788771084399
205,Konsulinden,Olivia Levison,Dansk,59.95,9788771439991
206,Afstem dine forventninger,Birgitte Espenhein Bang,Dansk,129.95,9788771451146
207,Ikke at ville se,Jan Guillou,Dansk,119.95,9788771462234
208,Dialogisk læsning - hvordan?,Lotte Salling,Dansk,99.95,9788771605822
209,Skift,Hugh Howey,Dansk,159.95,9788771713381
210,IRLAND UNDER HUDEN: PÅ SPORET AF EN IRSK IDENTITET,Flemming André Philip Ravn,Dansk,189.95,9788771905618
211,Nemme glutenfri kager,Simon Weisdorf,Dansk,39.95,9788771962932
212,Tysk grammatik som fjern- og selvstudium - en studiebog,Annette Lorentsen,Dansk,59.95,9788773078235
213,Afslutninger,Kim Andrea Brofeldt,Dansk,159.95,9788775622436
214,Kreative stjerner,Katja Svedstrup Westh Gross,Dansk,159.95,9788775750795
215,EN ANDERLEDES JUL,Pernille Kvist Nielsen,Dansk,94.95,9788776086145
216,Canterville-spøgelset,Oscar Wilde,Dansk,64.95,9788779794061
217,Dommedag,Flemming Madsen Poulsen,Dansk,64.95,9788793093737
218,En slankebog til mænd,Martin Nordkvist,Dansk,129.95,9788793796775
219, How to Work in Denmark: Updated Edition,Kay Xander Mellish,Engelsk,99.95,9788797322925
220,Sektion M II,Christina Larsson,Dansk,129.95,9789180342452
221,Sektion M III,Christina Larsson,Dansk,129.95,9789180342469
222,Mørket kalder,Michael Katz Krefeld,Dansk,79.95,9788711910320
223,Sig til bierne at jeg er væk,Diana Gabaldon,Dansk,189.95,9788702356502
224,Box,Camilla Läckberg,Dansk,179.95,9788772385952
225,Arbejdshæfte til metakognitiv terapi,Linda Burlan Sørensen,Dansk,89.95,9788793201613
226,Alix St Pierres tre liv,Natasha Lester,Dansk,199.95,9788775621729
227,Imperiet (Ravn-serien nr. 7),Michael Katz Krefeld,Dansk,99.95,9788711981344
228,Hvis der skulle komme et menneske forbi,Thomas Korsgaard,Dansk,149.95,9788711735497
229,Troskyldigheden selv,Lone Theils,Dansk,149.95,9788727013954
230,Stormsøsteren,Lucinda Riley,Dansk,189.95,9788763844147
231,Den sorte hund,Elly Griffiths,Dansk,189.95,9788712075165
232,Da blev jeg Døden,Steffen Jacobsen,Dansk,99.95,9788711837535
233,Pseudoarbejde,Dennis Nørmark,Dansk,129.95,9788702245332
234,Uendelige verden,Ken Follett,Dansk,129.95,9788763840026
235,Lær at styre dine tanker og følelser,Lars Fomsgaard,Dansk,109.95,9788797449653
236,Det er et fucking eventyr!,Eske Willerslev,Dansk,79.95,9788702309140
237,Lev mere tænk mindre,Pia Callesen,Dansk,159.95,9788740039061
238,Ansættelsesret ,Pia Vendelbo,Dansk,79.95,9788793392205
239,Brobyggerne,Jan Guillou,Dansk,119.95,9788770537100
240,Nærmest fri,Daniel Rye,Dansk,199.95,9788740088311
241,Jordisk,Theis Ørntoft,Dansk,159.95,9788702315455
242,Helbredelse af traumer,Peter A. Levine,Dansk,49.95,9788702188653
243,Skyggeriget,Kim Faber,Dansk,199.95,9788740080872
244,Grib livet - Slip angsten,Pia Callesen,Dansk,159.95,9788740054880
245,Circular Fashion,Peggy Blum,Engelsk,37.2,9781529420982
246, Sømærke,Lærke Kløvedal,Dansk,159.95,9788743404170
247,Turen går til Hamburg & Nordtyskland,Jytte Flamsholt Christensen,Dansk,35,9788740053371
248,Murtagh,,Engelsk,169.95,9780241651360
249,Havørnens skrig,Karin Smirnoff,Dansk,159.95,9788770077941
250,Pans hemmelighed,Michael Katz Krefeld,Dansk,79.95,9788711411087
251,Deep Work,Cal Newport,Engelsk,84.95,9780349411910
252,7 veje til et langt liv,Anette Harbech Olesen,Dansk,199.95,9788740088106
253, De blødende hjerters klub,Elly Griffiths,Dansk,209.95,9788712075073
254,"Sommerlys, og så kommer natten",Jón Kalman Stefánsson,Dansk,130,9788792439222
255,Forvandlingens metode,Edouard Louis,Dansk,129.95,9788702364545
256,Albert Einstein (Bloomsbury India),Maria Isabel Sanchez Vegara,Engelsk,94.95,9780711257597
257, I skyggen af Rusland,Vibe Termansen,Dansk,189.95,9788712073864
258,Meter i sekundet,Stine Pilgaard,Dansk,149.95,9788743400042
259,Aftenland,Tobias Bukkehave,Dansk,179.95,9788740081985
260,Vægttab der holder hele livet,Jens-Christian Holm,Dansk,84.95,9788702250138
261,Normal opførsel,Marie Hougaard,Dansk,169.95,9788727020945
262,De landsforviste - Australierne 1,Vivian Stuart,Dansk,159.95,9789979642947
263,En lykkelig slutning,Maren Uthaug,Dansk,79.95,9788711918104
264,Engle & dæmoner,Dan Brown,Dansk,79.95,9788792845696
265,Politi,Jo Nesbø,Dansk,89.95,9788771460346
