Rank,title,AuthorName,Language,Price_normal,Id
2225,En helt anden historie,Håkan Nesser,Dansk,89.95,9788770536875
2226,Hemmeligheden,Tess Gerritsen,Dansk,159.95,9788771078725
2227,God pige slem pige ,Michael Robotham,Dansk,159.95,9788771165661
2228,Lyrisk Poesi,Andreas Lyngsø-Petersen,Dansk,49.95,9788771459661
2229,"En anden tid, et andet liv",Leif GW Persson,Dansk,89.95,9788771460032
2230,Falder frit som i en drøm,Leif GW Persson,Dansk,89.95,9788771460056
2231,Åbent hus,Sofie Sarenbrant,Dansk,149.95,9788771591507
2232,Juleby i perler,Betina Houlind Kruse,Dansk,129.95,9788771718119
2233,Vinterbyperler,Betina Houlind Kruse,Dansk,159.95,9788771719383
2234,Integration,Mikkel Rytter,Dansk,49.95,9788771848045
2235,DIALOGUE & DISCONJUNCTION,Andreas Simonsen,Dansk,129.95,9788771966473
2236,Løb eller dø,Maria Adolfsson,Dansk,149.95,9788772387376
2237,Den sidste af de vilde heste,Maja Lunde,Dansk,219.95,9788773398227
2238,Broen til det andet menneske,Per Schultz Jørgensen,Dansk,129.95,9788774672708
2239,Sabotøren,,Dansk,92.31,9788775147885
2240,Min mors historie,Morten Thing,Dansk,84.95,9788775148165
2241,Sølvkronen,Anna Jansson,Dansk,169.95,9788775930012
2242,Snedrømme,Anna Jansson,Dansk,169.95,9788775930135
2243,Fra Vikingetid til Valdemarstid,Else Roesdahl,Dansk,249.95,9788775973262
2244,Tor rejser og Balder dør,Kirsten Ahlburg,Dansk,49.95,9788776079062
2245,Aktivering af hyrdehunde,Karina Mahnke,Dansk,79.95,9788778578006
2246,I ensomhed,August Strindberg,Dansk,24.95,9788779796430
2247,Læren om trivsel,Kia Wied,Dansk,159.95,9788791786549
2248,Stor-København,Albert Gnutzmann,Dansk,64.95,9788792922625
2249,Den lille Karen,Thomasine Gyllembourg,Dansk,19.95,9788792922632
2250,Vågent,Mirian Due,Dansk,94.95,9788793206762
2251,Cilkas rejse,Heather Morris,Dansk,159.95,9788793338753
2252,Tre søstre,Heather Morris,Dansk,319.95,9788794008600
