pdf,url
/files/sec-dds-jan2023.pdf,https://www.sec.gov/litigation/litreleases/lr-25468
https://www.sec.gov/divisions/enforce/enforcementmanual.pdf,https://www.sec.gov/litigation/litreleases/lr-25468
/files/sec-dds-jan2023.pdf,https://www.sec.gov/litigation/litreleases/lr-25468
/litigation/complaints/2022/comp25468.pdf,https://www.sec.gov/litigation/litreleases/lr-25468
https://www.sec.gov/divisions/enforce/enforcementmanual.pdf,https://www.sec.gov/litigation/litreleases/lr-25569
/files/sec-dds-jan2023.pdf,https://www.sec.gov/litigation/litreleases/lr-25569
https://www.sec.gov/divisions/enforce/enforcementmanual.pdf,https://www.sec.gov/litigation/litreleases/lr-25569
/files/sec-dds-jan2023.pdf,https://www.sec.gov/litigation/litreleases/lr-25569
/litigation/complaints/2022/comp25569.pdf,https://www.sec.gov/litigation/litreleases/lr-25569
https://www.sec.gov/litigation/complaints/2019/comp-pr2019-212.pdf,https://www.sec.gov/news/press-release/2019-212
https://www.sec.gov/divisions/enforce/enforcementmanual.pdf,https://www.sec.gov/litigation/litreleases/lr-25537
/files/sec-dds-jan2023.pdf,https://www.sec.gov/litigation/litreleases/lr-25537
https://www.sec.gov/divisions/enforce/enforcementmanual.pdf,https://www.sec.gov/litigation/litreleases/lr-25537
/files/sec-dds-jan2023.pdf,https://www.sec.gov/litigation/litreleases/lr-25537
/litigation/complaints/2022/comp25537.pdf,https://www.sec.gov/litigation/litreleases/lr-25537
https://www.sec.gov/litigation/complaints/2019/comp-pr2019-259.pdf,https://www.sec.gov/news/press-release/2019-259
https://www.sec.gov/litigation/admin/2020/33-10755.pdf,https://www.sec.gov/news/press-release/2020-37
https://www.sec.gov/litigation/investreport/34-81207.pdf,https://www.sec.gov/news/press-release/2019-267
https://www.sec.gov/litigation/admin/2019/33-10736.pdf,https://www.sec.gov/news/press-release/2019-267
https://www.sec.gov/litigation/complaints/2020/comp-pr2020-32.pdf,https://www.sec.gov/news/press-release/2020-32
https://www.sec.gov/divisions/enforce/enforcementmanual.pdf,https://www.sec.gov/litigation/litreleases/lr-25547
/files/sec-dds-jan2023.pdf,https://www.sec.gov/litigation/litreleases/lr-25547
https://www.sec.gov/divisions/enforce/enforcementmanual.pdf,https://www.sec.gov/litigation/litreleases/lr-25547
/files/sec-dds-jan2023.pdf,https://www.sec.gov/litigation/litreleases/lr-25547
/litigation/complaints/2022/comp25547.pdf,https://www.sec.gov/litigation/litreleases/lr-25547
/litigation/litreleases/2022/lr25547-spanish.pdf,https://www.sec.gov/litigation/litreleases/lr-25547
https://www.sec.gov/litigation/investreport/34-81207.pdf,https://www.sec.gov/news/press-release/2020-42
https://www.sec.gov/litigation/admin/2020/33-10760.pdf,https://www.sec.gov/news/press-release/2020-42
https://www.sec.gov/litigation/complaints/2020/comp-pr2020-66.pdf,https://www.sec.gov/news/press-release/2020-66
https://www.sec.gov/litigation/admin/2020/33-10788.pdf,https://www.sec.gov/news/press-release/2020-124
https://www.sec.gov/litigation/complaints/2020/comp-pr2020-137.pdf,https://www.sec.gov/news/press-release/2020-137
https://www.sec.gov/litigation/complaints/2020/comp-pr2020-145-nac-andrade.pdf,https://www.sec.gov/news/press-release/2020-145
https://www.sec.gov/litigation/complaints/2020/comp-pr2020-145-abramoff.pdf,https://www.sec.gov/news/press-release/2020-145
https://www.sec.gov/litigation/admin/2020/33-10817.pdf,https://www.sec.gov/news/press-release/2020-181
https://www.sec.gov/divisions/enforce/enforcementmanual.pdf,https://www.sec.gov/enforce/33-10853-s
/files/sec-dds-jan2023.pdf,https://www.sec.gov/enforce/33-10853-s
https://www.sec.gov/divisions/enforce/enforcementmanual.pdf,https://www.sec.gov/enforce/33-10853-s
/files/sec-dds-jan2023.pdf,https://www.sec.gov/enforce/33-10853-s
/litigation/admin/2020/33-10853.pdf,https://www.sec.gov/enforce/33-10853-s
https://www.sec.gov/litigation/complaints/2020/comp-pr2020-207.pdf,https://www.sec.gov/news/press-release/2020-207
https://www.sec.gov/litigation/admin/2020/33-10836.pdf,https://www.sec.gov/news/press-release/2020-207
https://www.sec.gov/divisions/enforce/enforcementmanual.pdf,https://www.sec.gov/enforce/33-10865-s
/files/sec-dds-jan2023.pdf,https://www.sec.gov/enforce/33-10865-s
https://www.sec.gov/divisions/enforce/enforcementmanual.pdf,https://www.sec.gov/enforce/33-10865-s
/files/sec-dds-jan2023.pdf,https://www.sec.gov/enforce/33-10865-s
/litigation/admin/2020/33-10865.pdf,https://www.sec.gov/enforce/33-10865-s
https://www.sec.gov/litigation/admin/2020/33-10841.pdf,https://www.sec.gov/news/press-release/2020-211
https://www.sec.gov/litigation/complaints/2020/comp-pr2020-246.pdf,https://www.sec.gov/news/press-release/2020-246
https://www.sec.gov/divisions/enforce/enforcementmanual.pdf,https://www.sec.gov/litigation/litreleases/lr-24607
/files/sec-dds-jan2023.pdf,https://www.sec.gov/litigation/litreleases/lr-24607
https://www.sec.gov/divisions/enforce/enforcementmanual.pdf,https://www.sec.gov/litigation/litreleases/lr-24607
/files/sec-dds-jan2023.pdf,https://www.sec.gov/litigation/litreleases/lr-24607
/litigation/complaints/2019/comp24607.pdf,https://www.sec.gov/litigation/litreleases/lr-24607
https://www.sec.gov/litigation/complaints/2020/comp-pr2020-341.pdf,https://www.sec.gov/news/press-release/2020-341
https://www.sec.gov/divisions/enforce/enforcementmanual.pdf,https://www.sec.gov/enforce/33-10914-s
/files/sec-dds-jan2023.pdf,https://www.sec.gov/enforce/33-10914-s
https://www.sec.gov/divisions/enforce/enforcementmanual.pdf,https://www.sec.gov/enforce/33-10914-s
/files/sec-dds-jan2023.pdf,https://www.sec.gov/enforce/33-10914-s
/litigation/admin/2020/33-10914.pdf,https://www.sec.gov/enforce/33-10914-s
https://www.sec.gov/litigation/complaints/2020/comp-pr2020-338.pdf,https://www.sec.gov/news/press-release/2020-338
