cham,teamA,teamB,time,Result
الدوري الإفريقي لكرة القدم, سيمبا,الأهلي ,18:00,2-2
الدوري الألماني, بروسيا دورتموند ,فيردر بريمن ,21:30,1-0
الدوري السعودي, الأخدود,الفيحاء ,18:00,1-2
دوري نجوم قطر, المرخية الرياضي,الشمال ,17:30,2-1
الدوري السعودي, الفتح,أبها ,21:00,4-1
الدوري الفرنسي, لوهافر,لانس ,22:00,0-0
الدوري السعودي, التعاون,الاتحاد ,18:00,1-1
الدوري الإسباني, أوساسونا,غرناطه ,22:00,2-0
الدوري المصري, سيراميكا كليوباترا,الداخلية ,20:00,4-0
دوري نجوم قطر, الغرافة,معيذر ,19:30,5-2
الدوري السعودي, الهلال,الخليج ,21:00,1-0
كأس السوبر - كرة سلة, الأهلي,الزمالك ,19:00,64-60
الدوري المصري, المصري,طلائع الجيش ,16:00,1-0
